	id	title	text	answer
0	post_5	Hello!	"Hi everyone. I just wanted to say: Good luck!
Who needs a final project team member? 
-Dave"	I am more than glad to team up with you for the final project David!!
1	post_5	Hello!	"Hi everyone. I just wanted to say: Good luck!
Who needs a final project team member? 
-Dave"	Hey David, I would love to be a part of your group
2	post_6	LiveDataLab Link	I am trying to follow the LiveDataLab link in the programming assignments overview, and it appears to be a broken link.	Hold tight guys! We're aware that the MP links to LiveDataLabs don't work yet. Please check again on Monday! we're working on it.
3	post_6	LiveDataLab Link	I am trying to follow the LiveDataLab link in the programming assignments overview, and it appears to be a broken link.	I am getting the same error. I am wondering if you need to be on Illinois VPN to be able to access it. I am going to try that route and let you know.
4	post_6	LiveDataLab Link	I am trying to follow the LiveDataLab link in the programming assignments overview, and it appears to be a broken link.	"I am getting the same problem:
Going here:
Programming Assignments Overview
and clicking on LiveDataLab
in chrome I get:"
5	post_6	LiveDataLab Link	I am trying to follow the LiveDataLab link in the programming assignments overview, and it appears to be a broken link.	"I am facing a same issue, it says:
Enrollment Failed
Enrollment failed with error:
Requested course does not exist."
6	post_6	LiveDataLab Link	I am trying to follow the LiveDataLab link in the programming assignments overview, and it appears to be a broken link.	Same here. I wonder if we should check with someone else from previous batches to confirm the URL
7	post_6	LiveDataLab Link	I am trying to follow the LiveDataLab link in the programming assignments overview, and it appears to be a broken link.	I do face same issue.
8	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	"I can see that about 176 students have not yet been enrolled on Coursera. I'll see what's going on. Even if you're in the ""on-campus"" session of the class, you should still have access to the same Coursera session as everybody else."
9	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	"It does not work for me. That coursera link said ""We were not able to find the page you're looking for. Try browsing our course catalog or searching our course catalog instead."""
10	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	You will only see this class once you finish the onboarding course. It will appear after several hours! Hope this helps!
11	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	According to MCS Onboarding Course instructions (make sure you complete it before you can have access to this course on Coursera), once you registered this class at the University Student Self-Service you should be automatically added to Coursera on day 1 of this semester. I would recommend first check if you registered the correct CRN (should be 67393 for online MCS section) and then check with Coursera..
12	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	One other thing to check: have you completed the onboarding course? Regular courses probably would not show up until that point.
13	post_7	Coursera	Should I be able to see this class on Coursera? I have a section that says Illinois Campus, but the only thing there is an onboarding course?	It should show up in same section under onboarding course.
